0.10,4.20,1.80,124.2
0.10,4.20,1.80,113.8
0.10,4.20,1.80,132.8
0.10,4.20,1.80,136.9
0.10,4.20,1.80,133.1
10,4.20,1.80,137.9
0.10,4.20,1.80,149.9
0.10,4.20,1.80,140.9
0.10,4.20,1.80,142.5
.10,4.20,1.80,113.1
0,4.20,1.80,121.3
0.10,4.20,1.80,127.6
.10,4.20,1.80,120.1
0.10,4.20,1.80,123.2
0.10,4.20,1.80,119.7
10,4.20,1.80,126.7
0.10,4.20,1.80,135.5
0.10,4.20,1.80,138.8
0.10,4.20,1.80,143.2
0.10,4.20,1.80,141.9
0,4.20,1.80,134.5
0.10,4.20,1.80,140.2
.10,4.20,1.80,114.3
.10,4.20,1.80,112.9
0.10,4.20,1.80,118.7
0,4.20,1.80,120.1
0.10,4.20,1.80,135.8
0.10,4.20,1.80,133.7
.10,4.20,1.80,143.1
0.10,4.20,1.80,143.0
0,4.20,1.80,145.2
0.10,4.20,1.80,-772.2
0.10,4.20,1.80,-772.2
0.10,4.20,1.80,-771.5
0.10,4.20,1.80,-771.7
0.10,4.20,1.80,-771.9
0.10,4.20,1.80,-772.3
.10,4.20,1.80,-772.2
0.10,4.20,1.80,-771.9
0.10,4.20,1.80,-771.6
0.10,4.20,1.80,-771.9
0.10,4.20,1.80,-771.7
0.10,4.20,1.80,-771.9
0.10,4.20,1.80,-772.0
0.10,4.20,1.80,-772.2
0.10,4.20,1.80,-771.8
0.10,4.20,1.80,-771.8
0.10,4.20,1.80,-772.0
0.10,4.20,1.80,-772.2
.10,4.20,1.80,-772.2
0.10,4.20,1.80,-772.2
0.10,4.20,1.80,-771.9
0.10,4.20,1.80,-771.8
.10,4.20,1.80,-772.0
.10,4.20,1.80,-771.8
.10,4.20,1.80,-772.0
0.10,4.20,1.80,-771.8
0.10,4.20,1.80,-772.0
0.10,4.20,1.80,-772.2
10,4.20,1.80,-772.3
0.10,4.20,1.80,-772.3
0.10,4.20,1.80,-772.6
0.10,4.20,1.80,-772.7
0.10,4.20,1.80,-772.3
.10,4.20,1.80,-772.0
0.10,4.20,1.80,-771.8
0.10,4.20,1.80,-771.9
.10,4.20,1.80,-771.9
.10,4.20,1.80,-772.1
.10,4.20,1.80,-771.7
0.10,4.20,1.80,-771.8
0.10,4.20,1.80,-772.1
0.10,4.20,1.80,-771.8
0.10,4.20,1.80,-771.6
0.10,4.20,1.80,-771.5
0.10,4.20,1.80,-771.7
0.10,4.20,1.80,-771.8
.10,4.20,1.80,-772.2
0.10,4.20,1.80,-771.7
.10,4.20,1.80,-771.6
0,4.20,1.80,-772.1
