0.10,4.20,1.80,150.2
0.10,4.20,1.80,149.1
.10,4.20,1.80,144.6
0.10,4.20,1.80,137.5
0.10,4.20,1.80,121.1
.10,4.20,1.80,121.2
0.10,4.20,1.80,171.0
0.10,4.20,1.80,213.9
0.10,4.20,1.80,244.3
0.10,4.20,1.80,235.3
0.10,4.20,1.80,180.3
0.10,4.20,1.80,107.3
0.10,4.20,1.80,55.5
0.10,4.20,1.80,79.6
0.10,4.20,1.80,146.6
0.10,4.20,1.80,205.6
0.10,4.20,1.80,253.0
10,4.20,1.80,261.1
0.10,4.20,1.80,212.9
0.10,4.20,1.80,147.9
0.10,4.20,1.80,98.4
0.10,4.20,1.80,94.2
0.10,4.20,1.80,131.8
0.10,4.20,1.80,185.0
0.10,4.20,1.80,223.2
0.10,4.20,1.80,224.5
0,4.20,1.80,180.3
.10,4.20,1.80,136.8
10,4.20,1.80,126.0
0.10,4.20,1.80,126.4
0.10,4.20,1.80,137.4
0.10,4.20,1.80,147.4
0.10,4.20,1.80,149.7
.10,4.20,1.80,148.6
0.10,4.20,1.80,154.8
0.10,4.20,1.80,188.0
0.10,4.20,1.80,220.5
0.10,4.20,1.80,224.0
0.10,4.20,1.80,195.6
0.10,4.20,1.80,148.9
0.10,4.20,1.80,104.9
0.10,4.20,1.80,85.6
.10,4.20,1.80,119.1
0.10,4.20,1.80,181.3
0.10,4.20,1.80,227.7
0.10,4.20,1.80,257.7
.10,4.20,1.80,238.5
0.10,4.20,1.80,183.9
0.10,4.20,1.80,137.5
0.10,4.20,1.80,110.9
0.10,4.20,1.80,130.2
0.10,4.20,1.80,181.5
0.10,4.20,1.80,208.5
0.10,4.20,1.80,195.1
0.10,4.20,1.80,152.2
10,4.20,1.80,116.6
0.10,4.20,1.80,105.7
0.10,4.20,1.80,104.7
0.10,4.20,1.80,148.3
0.10,4.20,1.80,211.5
0.10,4.20,1.80,243.3
0.10,4.20,1.80,235.3
0.10,4.20,1.80,186.8
.10,4.20,1.80,129.9
0.10,4.20,1.80,93.3
0.10,4.20,1.80,92.4
0.10,4.20,1.80,134.8
0.10,4.20,1.80,184.1
.10,4.20,1.80,200.0
0.10,4.20,1.80,190.5
0.10,4.20,1.80,172.9
0.10,4.20,1.80,168.8
0.10,4.20,1.80,167.5
0.10,4.20,1.80,167.2
0.10,4.20,1.80,167.6
0.10,4.20,1.80,166.1
0.10,4.20,1.80,166.2
0.10,4.20,1.80,166.3
